start,end,length
0,26283,254.70900000000006
0,41857,767.7999999999998
1,42253,259.67400000000004
1,42251,291.83900000000006
2,43262,433.1479999999999
2,43257,552.424
3,1016,86.25800000000001
1016,3,86.25800000000001
3,1321,85.345
1321,3,85.345
3,4,138.033
4,3,138.033
4,1737,86.149
1737,4,86.149
4,1017,85.611
1017,4,85.611
4,5,134.771
5,4,134.771
5,1738,85.99
5,6,271.351
6,5,271.351
6,1019,86.109
6,45003,199.796
45003,6,199.796
7,45003,22.088
45003,7,22.088
7,8,55.925
8,7,55.925
7,438,93.39999999999999
8,9,142.26
9,8,142.26
8,830,85.583
830,8,85.583
9,1020,85.181
11,2158,81.61999999999999
12,44989,17.096
12,415,86.20899999999999
13,12,105.43299999999999
13,808,80.922
808,13,80.922
13,807,86.554
807,13,86.554
14,13,127.99300000000001
14,63,87.48
63,14,87.48
14,2107,82.185
2107,14,82.185
15,2326,267.007
2326,15,267.007
15,244,249.0
15,505,153.18399999999997
505,15,153.18399999999997
15,54684,29.606
54684,15,29.606
16,17,239.745
16,2325,201.183
2325,16,201.183
17,18,127.58500000000001
18,50552,215.27400000000003
18,2775,90.62
19,122,80.763
122,19,80.763
19,1312,80.571
1312,19,80.571
20,1665,80.824
20,19,273.332
21,20,271.735
21,2159,81.107
22,45005,16.91
23,22,109.255
23,810,80.699
810,23,80.699
23,811,80.27499999999999
811,23,80.27499999999999
24,23,215.284
24,1667,89.457
1667,24,89.457
24,2106,88.052
2106,24,88.052
25,790,101.449
790,25,101.449
25,789,127.633
789,25,127.633
26,43690,263.17999999999995
43690,26,263.17999999999995
26,2180,96.326
2180,26,96.326
26,1846,171.363
1846,26,171.363
27,28,83.201
28,27,83.201
27,43690,22.926000000000002
43690,27,22.926000000000002
27,45685,246.774
28,2294,171.551
2294,28,171.551
28,45298,244.92499999999998
45298,28,244.92499999999998
29,30,311.31399999999996
29,1748,76.599
30,964,41.435
31,34,27.203
34,31,27.203
31,3021,150.43399999999997
3021,31,150.43399999999997
32,31,55.69299999999999
33,32,78.949
33,2381,77.993
2381,33,77.993
33,35,23.061
34,275,66.408
275,34,66.408
34,35,129.856
35,49876,162.38
36,52037,79.923
37,45016,21.559
37,399,93.688
38,37,156.643
38,45118,79.99000000000001
39,53119,78.783
39,48755,80.347
48755,39,80.347
40,39,275.73099999999994
40,49231,99.1
49231,40,99.1
40,794,79.614
794,40,79.614
40,46755,79.18499999999999
46755,40,79.18499999999999
41,42,274.107
41,855,81.183
855,41,81.183
41,53154,79.735
53154,41,79.735
42,43,271.01500000000004
42,1759,80.0
43,45015,129.93
43,1632,79.952
44,45,127.523
44,422,79.182
45,46,213.47699999999998
45,814,79.78099999999999
814,45,79.78099999999999
45,815,78.857
815,45,78.857
46,1761,90.335
1761,46,90.335
46,1633,90.475
1633,46,90.475
47,44945,30.164
44945,47,30.164
47,41642,109.314
41642,47,109.314
48,41642,25.311
41642,48,25.311
49,1252,53.7
50,1766,90.388
51,52,118.83199999999998
51,363,46.185
53,52555,86.85300000000001
53,2753,36.487
54,55,72.39099999999999
54,49802,56.54
55,56,80.472
56,42565,358.05400000000003
57,736,85.68100000000001
58,42362,341.47599999999994
59,51293,103.14599999999999
59,1104,101.188
1104,59,101.188
59,49882,165.23399999999998
49882,59,165.23399999999998
59,42367,15.532
42367,59,15.532
60,3163,1005.2769999999999
61,42565,260.646
62,3156,97.88799999999999
63,54299,18.782
54299,63,18.782
63,312,88.02000000000001
312,63,88.02000000000001
63,807,142.72199999999998
807,63,142.72199999999998
64,3027,79.938
64,2828,147.21699999999998
65,55346,9.4
65,1289,78.925
66,2888,71.337
67,3042,29.703
67,42540,274.357
68,54299,275.96600000000007
68,60,544.4730000000001
69,2600,141.016
69,1595,84.377
1595,69,84.377
69,2208,86.007
2208,69,86.007
70,43973,44.358999999999995
43973,70,44.358999999999995
70,2209,77.963
2209,70,77.963
71,73,68.388
71,72,90.931
72,1194,14.631
72,144,82.49499999999999
73,56,76.472
73,42567,195.0
42567,73,195.0
73,2290,16.231
2290,73,16.231
74,55275,21.108
74,1725,176.22400000000002
1725,74,176.22400000000002
75,42535,271.057
76,42537,732.3910000000001
77,50450,3.421
77,78,116.857
78,950,63.845
950,78,63.845
78,50455,82.57
50455,78,82.57
79,2902,114.753
79,66,530.577
80,81,84.96600000000001
80,48010,153.064
48010,80,153.064
80,1032,76.82000000000001
1032,80,76.82000000000001
81,3109,151.16400000000002
81,49679,46.135999999999996
82,46059,252.512
82,46058,246.57299999999998
83,50237,164.867
50237,83,164.867
83,1988,83.08900000000001
84,3110,135.391
84,52868,80.137
85,154,117.78
86,88,59.343999999999994
87,2614,79.95
87,54714,170.254
88,3089,1940.49
89,42657,95.982
89,2613,78.433
90,42561,236.89
90,50547,28.95
91,43941,121.56199999999998
43941,91,121.56199999999998
91,801,115.65599999999999
801,91,115.65599999999999
91,999,88.493
999,91,88.493
92,42552,36.203
92,2255,79.487
93,2732,131.137
2732,93,131.137
93,94,116.47200000000001
94,161,533.307
95,96,122.072
